开始IP,结束IP,IP归属地
202.200.231.128,202.200.231.170,西安交通大学 东16/17舍
202.200.231.171,202.200.231.171,西安交通大学 西17楼809舍
202.200.231.172,202.200.231.186,西安交通大学 东16/17舍
202.200.231.187,202.200.231.187,西安交通大学 西17楼809舍
202.200.231.188,202.200.231.201,西安交通大学 东16/17舍
202.200.231.202,202.200.231.202,西安交通大学 西17楼809舍
202.200.231.203,202.200.231.255,西安交通大学 东16/17舍
202.200.232.0,202.200.232.52,西安交通大学 东18/19/20舍
202.200.232.53,202.200.232.53,西安交通大学 东18-916
202.200.232.54,202.200.232.161,西安交通大学 东18/19/20舍
202.200.232.162,202.200.232.162,西安交通大学 E18舍6楼
202.200.232.163,202.200.232.211,西安交通大学 东18/19/20舍
202.200.232.212,202.200.232.212,西安交通大学 东18舍104
202.200.232.213,202.200.232.231,西安交通大学 东18/19/20舍
202.200.232.232,202.200.232.232,西安交通大学 东18舍603
202.200.232.233,202.200.232.246,西安交通大学 东18/19/20舍
202.200.232.247,202.200.232.247,西安交通大学 东校区东18舍124室
202.200.232.248,202.200.232.255,西安交通大学 东18/19/20舍
202.200.233.0,202.200.233.66,西安交通大学 东18/19/20舍4-6层
202.200.233.67,202.200.233.67,西安交通大学 东19舍203
202.200.233.68,202.200.233.255,西安交通大学 东18/19/20舍4-6层
202.200.234.0,202.200.234.37,西安交通大学 东18/19/20舍7-8层
202.200.234.38,202.200.234.38,西安交通大学 东19舍3层
202.200.234.39,202.200.234.42,西安交通大学 东18/19/20舍7-8层
202.200.234.43,202.200.234.43,西安交通大学 东校区东18舍212室
202.200.234.44,202.200.234.110,西安交通大学 东18/19/20舍7-8层
202.200.234.111,202.200.234.111,西安交通大学 东19舍309室
202.200.234.112,202.200.234.149,西安交通大学 东18/19/20舍7-8层
202.200.234.150,202.200.234.150,西安交通大学 主楼
202.200.234.151,202.200.234.255,西安交通大学 东18/19/20舍7-8层
202.200.235.0,202.200.235.69,西安交通大学 西19/20舍1-4层
202.200.235.70,202.200.235.70,西安交通大学 西20舍128
202.200.235.71,202.200.235.255,西安交通大学 西19/20舍1-4层
202.200.236.0,202.200.236.255,西安交通大学 西18/19/20舍1-4层
202.200.237.0,202.200.237.255,西安交通大学 西18/19/20舍5-8层
202.200.238.0,202.200.238.136,西安交通大学 西18/19/20舍3-6层
202.200.238.137,202.200.238.137,西安交通大学 西18舍888室
202.200.238.138,202.200.238.164,西安交通大学 西18/19/20舍3-6层
202.200.238.165,202.200.238.165,西安交通大学 西20-302
202.200.238.166,202.200.238.166,西安交通大学 西21-906
202.200.238.167,202.200.238.220,西安交通大学 西18/19/20舍3-6层
202.200.238.221,202.200.238.221,西安交通大学 西20舍424
202.200.238.222,202.200.238.255,西安交通大学 西18/19/20舍3-6层
202.200.239.0,202.200.239.130,西安交通大学 东17舍1-3层
202.200.239.131,202.200.239.131,西安交通大学 东17舍427
202.200.239.132,202.200.239.152,西安交通大学 东17舍1-3层
202.200.239.153,202.200.239.153,西安交通大学 e17-133
202.200.239.154,202.200.239.184,西安交通大学 东17舍1-3层
202.200.239.185,202.200.239.185,西安交通大学 东17舍2层
202.200.239.186,202.200.239.213,西安交通大学 东17舍1-3层
202.200.239.214,202.200.239.214,西安交通大学 西2舍-133
202.200.239.215,202.200.239.255,西安交通大学 东17舍1-3层
219.144.245.0,219.144.245.19,陕西省西安市 西安交通大学
219.144.245.24,219.144.245.29,陕西省西安市 西安交通大学
219.144.245.31,219.144.245.35,陕西省西安市 西安交通大学
219.144.245.37,219.144.245.69,陕西省西安市 西安交通大学
219.144.245.71,219.144.245.79,陕西省西安市 西安交通大学
219.144.245.84,219.144.245.93,陕西省西安市 西安交通大学
219.144.245.95,219.144.245.97,陕西省西安市 西安交通大学
219.144.245.99,219.144.245.101,陕西省西安市 西安交通大学
219.144.245.103,219.144.245.105,陕西省西安市 西安交通大学
219.145.88.166,219.145.88.166,交通大学科技园
219.245.32.0,219.245.32.60,西安交通大学 第二医院(北院)/学生区
219.245.32.61,219.245.32.61,西安交通大学 医学院男生2#楼
219.245.32.62,219.245.32.131,西安交通大学 第二医院(北院)/学生区
219.245.32.132,219.245.32.132,西安交通大学 医学校区1区318
219.245.32.133,219.245.32.255,西安交通大学 第二医院(北院)/学生区
219.245.33.0,219.245.33.40,西安交通大学
219.245.33.41,219.245.33.41,西安交通大学 医学院4#宿舍楼104
219.245.33.42,219.245.33.255,西安交通大学
219.245.34.0,219.245.34.95,西安交通大学 医学校区3/5舍
219.245.34.96,219.245.34.96,西安交通大学 医学院5#205室
219.245.34.97,219.245.34.185,西安交通大学 医学校区3/5舍
219.245.34.186,219.245.34.186,西安交通大学 医学院4#113
219.245.34.187,219.245.34.203,西安交通大学 医学校区3/5舍
219.245.34.204,219.245.34.204,西安交通大学 医学校区5/205舍
219.245.34.205,219.245.34.255,西安交通大学 医学校区3/5舍
219.245.35.0,219.245.35.255,西安交通大学 医学院生活区4舍
219.245.36.0,219.245.36.255,西安交通大学 医学校区6/7舍
219.245.37.0,219.245.37.255,西安交通大学 医学校区9舍
219.245.38.0,219.245.38.255,西安交通大学
219.245.39.0,219.245.39.78,西安交通大学 财经校区
219.245.39.79,219.245.39.79,西安交通大学 财4-615
219.245.39.80,219.245.39.84,西安交通大学 财经校区
219.245.39.85,219.245.39.85,西安交通大学 财4-615
219.245.39.86,219.245.39.255,西安交通大学 财经校区
219.245.40.0,219.245.40.255,西安交通大学 财经校区女生四舍
219.245.41.0,219.245.41.5,西安交通大学 财经校区U型楼
219.245.41.6,219.245.41.6,西安交通大学 财经校区U南楼423
219.245.41.7,219.245.42.255,西安交通大学 财经校区U型楼
219.245.43.0,219.245.43.255,西安交通大学 财经校区U型楼北楼
219.245.44.0,219.245.44.42,西安交通大学 医学校区10#楼
219.245.44.43,219.245.44.43,西安交通大学 医学校区10#楼一层
219.245.44.44,219.245.44.65,西安交通大学 医学校区10#楼
219.245.44.66,219.245.44.66,西安交通大学 医学校区10#楼709房间
219.245.44.67,219.245.44.137,西安交通大学 医学校区10#楼
219.245.44.138,219.245.44.138,西安交通大学 医学院10#楼3层304
219.245.44.139,219.245.44.251,西安交通大学 医学校区10#楼
219.245.44.252,219.245.44.252,西安交通大学 医学校区10#楼一层104
219.245.44.253,219.245.45.74,西安交通大学 医学校区10#楼
219.245.45.75,219.245.45.75,西安交通大学 医学院生活区10号楼412
219.245.45.76,219.245.46.35,西安交通大学 医学校区10#楼
219.245.46.36,219.245.46.36,西安交通大学 医学校区10#楼841
219.245.46.37,219.245.46.38,西安交通大学 医学校区10#楼
219.245.46.39,219.245.46.39,西安交通大学 医学校区10#楼11层
219.245.46.40,219.245.46.42,西安交通大学 医学校区10#楼
219.245.46.43,219.245.46.43,西安交通大学 西校区10#831
219.245.46.44,219.245.46.168,西安交通大学 医学校区10#楼
219.245.46.169,219.245.46.169,西安交通大学 医学院10#716
219.245.46.170,219.245.46.186,西安交通大学 医学校区10#楼
219.245.46.187,219.245.46.187,西安交通大学 医学院10号楼1001
219.245.46.188,219.245.46.241,西安交通大学 医学校区10#楼
219.245.46.242,219.245.46.242,西安交通大学 医学院10#楼804
219.245.46.243,219.245.46.243,西安交通大学 医学校区10#楼
219.245.46.244,219.245.46.244,西安交通大学 医学院10#楼806
219.245.46.245,219.245.46.247,西安交通大学 医学校区10#楼
219.245.46.248,219.245.46.248,西安交通大学 西校区10#楼735舍
219.245.46.249,219.245.46.255,西安交通大学 医学校区10#楼
219.245.47.0,219.245.47.12,西安交通大学 西校区10号楼7-12层
219.245.47.13,219.245.47.13,西安交通大学 西校区10号楼703
219.245.47.14,219.245.47.29,西安交通大学 西校区10号楼7-12层
219.245.47.30,219.245.47.30,西安交通大学 西校区10#楼735宿舍
219.245.47.31,219.245.47.34,西安交通大学 西校区10号楼7-12层
219.245.47.35,219.245.47.35,西安交通大学 西校区医10-703#
219.245.47.36,219.245.47.255,西安交通大学 西校区10号楼7-12层
219.245.48.0,219.245.63.255,西安交通大学
219.245.128.0,219.245.128.255,西安交通大学 家属区宽带
219.245.129.0,219.245.129.255,西安交通大学
219.245.130.0,219.245.130.255,西安交通大学 东1/4舍
219.245.131.0,219.245.138.255,西安交通大学
219.245.139.0,219.245.143.255,西安交通大学 家属区宽带
219.245.144.0,219.245.145.255,西安交通大学
219.245.146.0,219.245.146.149,西安交通大学 西十六舍
219.245.146.150,219.245.146.150,西安交通大学 阳光小区11栋
219.245.146.151,219.245.146.212,西安交通大学 西十六舍
219.245.146.213,219.245.146.213,西安交通大学 阳光小区
219.245.146.214,219.245.147.255,西安交通大学 西十六舍
219.245.148.0,219.245.148.152,西安交通大学 西十七舍
219.245.148.153,219.245.148.153,西安交通大学 西17-019经济学会办公室
219.245.148.154,219.245.148.255,西安交通大学 西十七舍
219.245.149.0,219.245.152.255,西安交通大学
219.245.153.0,219.245.153.255,西安交通大学 西八舍
219.245.154.0,219.245.154.255,西安交通大学 西九/十舍
219.245.155.0,219.245.156.255,西安交通大学
219.245.157.0,219.245.157.255,西安交通大学 西五舍
219.245.158.0,219.245.159.255,西安交通大学
219.245.160.0,219.245.160.255,西安交通大学 东12舍
219.245.161.0,219.245.161.255,西安交通大学 西15舍
219.245.162.0,219.245.162.154,西安交通大学 西六舍
219.245.162.155,219.245.162.155,西安交通大学 家属区宽带
219.245.162.156,219.245.162.255,西安交通大学 西六舍
219.245.163.0,219.245.163.255,西安交通大学 研究生公寓西六舍
219.245.164.0,219.245.164.255,西安交通大学 东六学生宿舍
219.245.165.0,219.245.165.255,西安交通大学
219.245.166.0,219.245.166.255,西安交通大学 东十舍
219.245.167.0,219.245.167.255,西安交通大学 东十三舍
219.245.168.0,219.245.168.127,西安交通大学 东十五舍
219.245.168.128,219.245.168.128,西安交通大学 东十五女舍
219.245.168.129,219.245.168.255,西安交通大学 东十五舍
219.245.169.0,219.245.169.185,西安交通大学 东八舍
219.245.169.186,219.245.169.186,西安交通大学 东八舍611
219.245.169.187,219.245.169.206,西安交通大学 东六舍
219.245.169.207,219.245.169.207,西安交通大学 东八舍
219.245.169.208,219.245.169.255,西安交通大学 东六舍
219.245.170.0,219.245.170.1,西安交通大学 东19舍
219.245.170.2,219.245.170.2,西安交通大学 东18舍113
219.245.170.3,219.245.170.63,西安交通大学 东19舍
219.245.170.64,219.245.170.64,西安交通大学 东19舍207
219.245.170.65,219.245.170.65,西安交通大学 东19206
219.245.170.66,219.245.170.72,西安交通大学 东19舍
219.245.170.73,219.245.170.73,西安交通大学 东19舍324
219.245.170.74,219.245.170.79,西安交通大学 东19舍
219.245.170.80,219.245.170.82,西安交通大学 东18舍124
219.245.170.83,219.245.170.186,西安交通大学 东19舍
219.245.170.187,219.245.170.187,西安交通大学 东19舍207
219.245.170.188,219.245.170.190,西安交通大学 东19舍
219.245.170.191,219.245.170.191,西安交通大学 东19舍128
219.245.170.192,219.245.170.255,西安交通大学 东19舍
219.245.171.0,219.245.171.36,西安交通大学
219.245.171.37,219.245.171.37,西安交通大学 东19-311舍
219.245.171.38,219.245.171.91,西安交通大学
219.245.171.92,219.245.171.92,西安交通大学 东18-608
219.245.171.93,219.245.171.95,西安交通大学
219.245.171.96,219.245.171.96,西安交通大学 东21-902
219.245.171.97,219.245.171.98,西安交通大学 东19-817
219.245.171.99,219.245.171.99,西安交通大学 东19
219.245.171.100,219.245.171.102,西安交通大学
219.245.171.103,219.245.171.103,西安交通大学 东18-611
219.245.171.104,219.245.171.106,西安交通大学
219.245.171.107,219.245.171.107,西安交通大学 东18-605
219.245.171.108,219.245.171.111,西安交通大学
219.245.171.112,219.245.171.112,西安交通大学 东18-606
219.245.171.113,219.245.171.152,西安交通大学
219.245.171.153,219.245.171.153,西安交通大学 管理学院
219.245.171.154,219.245.171.255,西安交通大学
219.245.172.0,219.245.172.17,西安交通大学 东2/3舍
219.245.172.18,219.245.172.18,西安交通大学 东2-606
219.245.172.19,219.245.172.31,西安交通大学 东2/3舍
219.245.172.32,219.245.172.33,西安交通大学 东2舍3楼
219.245.172.34,219.245.172.110,西安交通大学 东2/3舍
219.245.172.111,219.245.172.111,西安交通大学 东2舍720
219.245.172.112,219.245.172.255,西安交通大学 东2/3舍
219.245.173.0,219.245.173.14,西安交通大学 东6-9舍
219.245.173.15,219.245.173.15,西安交通大学 东1舍
219.245.173.16,219.245.173.51,西安交通大学 东6-9舍
219.245.173.52,219.245.173.52,西安交通大学 东4舍403
219.245.173.53,219.245.173.71,西安交通大学 东6-8舍
219.245.173.72,219.245.173.72,西安交通大学 东四楼406室
219.245.173.73,219.245.175.255,西安交通大学 东6-8舍
219.245.176.0,219.245.176.38,西安交通大学 东9舍
219.245.176.39,219.245.176.40,西安交通大学 东9舍1006室
219.245.176.41,219.245.176.41,西安交通大学 东9舍1024室
219.245.176.42,219.245.176.45,西安交通大学 东9舍
219.245.176.46,219.245.176.47,西安交通大学 东九宿舍1017
219.245.176.48,219.245.176.52,西安交通大学 东9舍
219.245.176.53,219.245.176.53,西安交通大学 东9舍1024室
219.245.176.54,219.245.176.54,西安交通大学 东9舍
219.245.176.55,219.245.176.55,西安交通大学 东9舍1019室
219.245.176.56,219.245.176.80,西安交通大学 东9舍
219.245.176.81,219.245.176.81,西安交通大学东 九舍1002
219.245.176.82,219.245.177.130,西安交通大学 东9舍
219.245.177.131,219.245.177.131,西安交通大学 西17舍103室
219.245.177.132,219.245.177.158,西安交通大学 东9舍
219.245.177.159,219.245.177.159,西安交通大学 西17舍106
219.245.177.160,219.245.177.255,西安交通大学 东9舍
219.245.178.0,219.245.178.19,西安交通大学 第一学生宿舍东9舍3.4.5层
219.245.178.20,219.245.178.20,西安交通大学 东9舍514
219.245.178.21,219.245.178.100,西安交通大学 第一学生宿舍东9舍3.4.5层
219.245.178.101,219.245.178.101,西安交通大学 东九舍1228
219.245.178.102,219.245.178.105,西安交通大学 第一学生宿舍东9舍3.4.5层
219.245.178.106,219.245.178.106,西安交通大学 东九舍628
219.245.178.107,219.245.178.255,西安交通大学 第一学生宿舍东9舍3.4.5层
219.245.179.0,219.245.179.255,西安交通大学 东9舍/小高层
219.245.180.0,219.245.180.255,西安交通大学 西7/8舍
219.245.181.0,219.245.181.255,西安交通大学 西9/10舍
219.245.182.0,219.245.182.255,西安交通大学 西5舍
219.245.183.0,219.245.183.255,西安交通大学 西11/14舍
219.245.184.0,219.245.184.183,西安交通大学 西-17
219.245.184.184,219.245.184.184,西安交通大学 西17-地下室
219.245.184.185,219.245.185.255,西安交通大学 西-17
219.245.186.0,219.245.186.237,西安交通大学
219.245.186.238,219.245.186.238,西安交通大学 西16舍230室
219.245.186.239,219.245.187.115,西安交通大学
219.245.187.116,219.245.187.116,西安交通大学 西16舍520
219.245.187.117,219.245.187.255,西安交通大学
219.245.188.0,219.245.188.255,西安交通大学 第二医学院
219.245.189.0,219.245.190.255,西安交通大学 第二医院学生楼
219.245.191.0,219.245.191.181,西安交通大学 第二医学院
219.245.191.182,219.245.191.182,西安交通大学 第二附属医院院办
219.245.191.183,219.245.191.210,西安交通大学 第二医学院
219.245.191.211,219.245.191.211,西安交通大学 第二医院骨一科
219.245.191.212,219.245.191.255,西安交通大学 第二医学院
219.245.224.0,219.245.248.255,西安交通大学
222.90.53.229,222.90.53.229,陕西省西安市 交大阳光小区
222.90.114.18,222.90.114.18,交通大学家属区
222.91.72.14,222.91.72.14,陕西省西安市 交大南洋饭店
222.91.160.150,222.91.160.150,陕西省西安市 西安交通大学
